date,confirmed,deaths,recovered,Cases Total(Ave7),Cases Day,Cases Day(Ave7),Deaths Total(Ave7),Deaths Day,Deaths Day(Ave7),Death rate 2Weeks,Deaths Weekly(Ave7)/1M pop,Deaths /1M pop (Ave7),Td7,R0,K,CFR
2020-1-22,1,0,0,,,,,,,,,0.0,,,,
2020-1-23,1,0,0,,0.0,,,0.0,,,,0.0,,,,
2020-1-24,2,0,0,,1.0,,,0.0,,,,0.0,,,,
2020-1-25,2,0,0,,0.0,,,0.0,,,,0.0,,,,
2020-1-26,3,0,0,,1.0,,,0.0,,,,0.0,,,,
2020-1-27,4,0,0,,1.0,,,0.0,,,,0.0,,,,
2020-1-28,4,0,0,,0.0,,,0.0,,,,0.0,,,,
2020-1-29,4,0,0,2.4285714285714284,0.0,,0.0,0.0,,,0.0,0.0,,,,0.0
2020-1-30,4,0,0,2.8571428571428568,0.0,0.42857142857142855,0.0,0.0,0.0,,0.0,0.0,,,,0.0
2020-1-31,11,0,0,3.2857142857142856,7.0,0.42857142857142855,0.0,0.0,0.0,,0.0,0.0,,,,0.0
2020-2-1,12,0,0,4.571428571428571,1.0,1.2857142857142856,0.0,0.0,0.0,,0.0,0.0,,,,0.0
2020-2-2,15,0,0,6.0,3.0,1.4285714285714284,0.0,0.0,0.0,,0.0,0.0,,,,0.0
2020-2-3,15,0,0,7.7142857142857135,0.0,1.7142857142857142,0.0,0.0,0.0,,0.0,0.0,,,,0.0
2020-2-4,16,0,0,9.285714285714285,1.0,1.5714285714285714,0.0,0.0,0.0,,0.0,0.0,,,,0.0
2020-2-5,19,0,0,11.0,3.0,1.7142857142857142,0.0,0.0,0.0,,0.0,0.0,3.6177487277668354,2.6064297567452104,0.7384615384615385,0.0
2020-2-6,23,0,0,13.14285714285714,4.0,2.142857142857143,0.0,0.0,0.0,,0.0,0.0,3.5992336692110656,2.6193059854737872,0.7402597402597403,0.0
2020-2-7,24,0,1,15.857142857142858,1.0,2.7142857142857144,0.0,0.0,0.0,,0.0,0.0,3.5,2.6918003852647123,0.75,0.0
2020-2-8,24,0,1,17.71428571428571,0.0,1.857142857142857,0.0,0.0,0.0,,0.0,0.0,3.9009909192556362,2.4312961225943623,0.7117117117117118,0.0
2020-2-9,25,0,3,19.428571428571427,1.0,1.7142857142857142,0.0,0.0,0.0,,0.0,0.0,4.481781561642022,2.1668927914813905,0.6612903225806451,0.0
2020-2-10,27,0,3,20.857142857142854,2.0,1.4285714285714284,0.0,0.0,0.0,,0.0,0.0,5.252986300044134,1.9343374894122316,0.6029411764705883,0.0
2020-2-11,28,0,3,22.571428571428573,1.0,1.714285714285714,0.0,0.0,0.0,,0.0,0.0,5.99593948544456,1.7824945623441726,0.5547945205479452,0.0
2020-2-12,28,0,7,24.28571428571429,0.0,1.714285714285714,0.0,0.0,0.0,,0.0,0.0,6.750278786027012,1.6709981639476539,0.5126582278481013,0.0
2020-2-13,28,0,7,25.57142857142857,0.0,1.2857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,7.902202521487135,1.5505015689068995,0.45882352941176485,0.0
2020-2-14,28,0,7,26.285714285714285,0.0,0.7142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,10.15375820214125,1.4068109874158417,0.3798882681564245,0.0
2020-2-15,28,0,9,26.857142857142858,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,12.294384203249683,1.3256406492208757,0.32608695652173925,0.0
2020-2-16,29,0,9,27.428571428571427,1.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,14.985249897767051,1.2602076180740254,0.27659574468085113,0.0
2020-2-17,30,0,10,28.0,1.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,17.71533244158637,1.216082737159738,0.23958333333333337,0.0
2020-2-18,31,0,12,28.428571428571427,1.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,22.513171303188194,1.166423920628506,0.19387755102040816,0.0
2020-2-19,31,0,12,28.857142857142854,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,30.805291998411146,1.11907736283087,0.14572864321608026,0.0
2020-2-20,104,1,16,29.28571428571428,73.0,0.42857142857142855,0.0,1.0,0.0,0.0,0.0,0.019476873005178665,40.13860307185255,1.0901815132095347,0.11386138613861385,0.0
2020-2-21,204,2,16,40.14285714285714,100.0,10.857142857142858,0.14285714285714285,1.0,0.14285714285714285,0.0,0.019476873005178665,0.03895374601035733,44.89535242776357,1.0802536476767308,0.10243902439024377,0.0035587188612099647
2020-2-22,433,2,16,65.28571428571428,229.0,25.142857142857142,0.42857142857142855,0.0,0.2857142857142857,0.07692307692307693,0.03895374601035733,0.03895374601035733,12.072348511016246,1.3325314841325644,0.3309608540925266,0.0065645514223194755
2020-2-23,602,6,18,123.14285714285714,169.0,57.85714285714286,0.7142857142857142,4.0,0.2857142857142857,0.16666666666666666,0.03895374601035733,0.116861238031072,5.595130650285192,1.8578502012297464,0.5798687089715535,0.00580046403712297
2020-2-24,833,8,18,205.0,231.0,81.85714285714286,1.5714285714285712,2.0,0.8571428571428571,0.2,0.116861238031072,0.15581498404142932,3.2758741651305563,2.880481822387954,0.7726218097447796,0.007665505226480835
2020-2-25,977,10,22,319.7142857142857,144.0,114.71428571428571,2.714285714285714,2.0,1.1428571428571428,0.5000000000000001,0.15581498404142932,0.19476873005178666,2.4559590398997884,4.100683996425051,0.8613240418118466,0.008489722966934761
2020-2-26,1261,12,22,454.85714285714283,284.0,135.14285714285714,4.142857142857142,2.0,1.4285714285714284,0.6666666666666667,0.19476873005178666,0.233722476062144,2.0174173215928763,5.572853827892276,0.9097408400357462,0.009108040201005025
2020-2-27,1766,13,22,630.5714285714286,505.0,175.71428571428572,5.857142857142857,1.0,1.714285714285714,1.1111111111111112,0.21424560305696533,0.25319934906732267,1.7689523247848093,7.09366795249759,0.9356155778894473,0.009288627095604893
2020-2-28,2337,13,22,868.0,571.0,237.42857142857142,7.57142857142857,0.0,1.714285714285714,2.4,0.21424560305696533,0.25319934906732267,1.761695635687681,7.151147248728384,0.9363389216130494,0.008722843976300196
2020-2-29,3150,16,27,1172.7142857142858,813.0,304.7142857142857,9.142857142857142,3.0,1.5714285714285712,2.9999999999999996,0.21424560305696533,0.31162996808285864,1.8752398635496734,6.348103151719268,0.9247860434496379,0.007796321110975757
2020-3-1,3736,17,30,1560.857142857143,586.0,388.1428571428571,11.142857142857142,1.0,1.9999999999999998,2.7499999999999996,0.19476873005178666,0.33110684108803734,2.1528878122306443,5.001850500482282,0.8949933000365453,0.007138934651290499
2020-3-2,4335,28,30,2008.5714285714284,599.0,447.7142857142857,12.714285714285714,11.0,1.5714285714285714,3.5,0.175291857046608,0.5453524441450026,2.3901857447957235,4.263054895204314,0.8686619073768991,0.006330014224751067
2020-3-3,5186,28,30,2508.8571428571427,851.0,500.2857142857143,15.571428571428571,0.0,2.8571428571428568,3.666666666666667,0.350583714093216,0.5453524441450026,2.6401996428914822,3.7161176588116813,0.8408250355618776,0.006206582393804806
2020-3-4,5621,35,41,3110.142857142857,435.0,601.2857142857143,18.142857142857142,7.0,2.571428571428571,6.666666666666666,0.31162996808285864,0.6816905551812533,2.8414338906182905,3.38621819061579,0.8186994647534449,0.005833448164990125
2020-3-5,6088,35,41,3732.9999999999995,467.0,622.8571428571429,21.42857142857143,0.0,3.2857142857142856,6.0,0.42849120611393066,0.6816905551812533,3.0405049891888973,3.1263161357054563,0.7972532267695558,0.005740308445907161
