2020/05/06 02:08:35 UTC
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,0,0,0
2020-3-4,0,0,0
2020-3-5,0,0,0
2020-3-6,0,0,0
2020-3-7,0,0,0
2020-3-8,0,0,0
2020-3-9,0,0,0
2020-3-10,0,0,0
2020-3-11,0,0,0
2020-3-12,1,1,0
2020-3-13,1,1,0
2020-3-14,1,1,0
2020-3-15,4,1,0
2020-3-16,4,1,0
2020-3-17,7,1,0
2020-3-18,7,1,0
2020-3-19,7,1,0
2020-3-20,7,1,0
2020-3-21,7,1,0
2020-3-22,19,1,0
2020-3-23,20,1,0
2020-3-24,5,1,0
2020-3-25,5,1,0
2020-3-26,5,1,0
2020-3-27,5,1,0
2020-3-28,8,1,0
2020-3-29,8,1,0
2020-3-30,8,1,0
2020-3-31,12,2,0
2020-4-1,19,2,0
2020-4-2,19,4,0
2020-4-3,23,4,0
2020-4-4,23,4,0
2020-4-5,24,4,0
2020-4-6,31,4,8
2020-4-7,33,5,8
2020-4-8,37,6,8
2020-4-9,37,6,8
2020-4-10,37,6,8
2020-4-11,45,6,8
2020-4-12,45,6,8
2020-4-13,45,6,8
2020-4-14,47,6,8
2020-4-15,55,6,8
2020-4-16,55,6,8
2020-4-17,63,6,9
2020-4-18,63,6,9
2020-4-19,65,7,9
2020-4-20,65,7,9
2020-4-21,66,7,9
2020-4-22,67,7,9
2020-4-23,70,7,9
2020-4-24,73,7,12
2020-4-25,73,7,12
2020-4-26,74,8,12
2020-4-27,74,8,15
2020-4-28,74,8,15
2020-4-29,78,8,18
2020-4-30,82,9,22
2020-5-1,82,9,22
2020-5-2,82,9,22
2020-5-3,82,9,22
2020-5-4,92,9,27
