Date,Td,Cases(Tot.),Cases(7Ave.),Cases(Day),Cases(7Ave.Day),Deaths(Tot.),Death(7Ave.),Death(Day),Death(7Ave.Day)
2020/01/27,7.26,5,5.71,1,1.14,0,0.00,0,0.00
2020/01/28,8.35,8,6.71,3,1.00,0,0.00,0,0.00
2020/01/29,9.29,8,7.71,0,1.00,0,0.00,0,0.00
2020/01/30,9.69,9,8.57,1,0.86,0,0.00,0,0.00
2020/01/31,9.74,10,9.29,1,0.71,0,0.00,0,0.00
2020/02/01,9.38,10,9.71,0,0.43,0,0.00,0,0.00
2020/02/02,9.09,10,10.14,0,0.43,0,0.00,0,0.00
2020/02/03,10.65,10,11.14,0,1.00,0,0.00,0,0.00
2020/02/04,12.20,11,12.00,1,0.86,0,0.00,0,0.00
2020/02/05,14.91,11,13.00,0,1.00,0,0.00,0,0.00
2020/02/06,18.85,16,14.14,5,1.14,0,0.00,0,0.00
2020/02/07,23.12,16,15.29,0,1.14,0,0.00,0,0.00
2020/02/08,27.53,17,16.29,1,1.00,0,0.00,0,0.00
2020/02/09,31.80,18,17.29,1,1.00,0,0.00,0,0.00
2020/02/10,27.21,18,17.57,0,0.29,0,0.00,0,0.00
2020/02/11,22.59,18,17.86,0,0.29,0,0.00,0,0.00
2020/02/12,18.83,18,18.00,0,0.14,0,0.00,0,0.00
2020/02/13,16.76,18,18.29,0,0.29,0,0.14,0,0.14
2020/02/14,15.94,18,18.86,0,0.57,0,0.29,0,0.14
2020/02/15,14.98,18,19.43,0,0.57,0,0.43,0,0.14
2020/02/16,14.51,20,20.14,2,0.71,1,0.57,1,0.14
2020/02/17,14.58,22,21.00,2,0.86,1,0.71,0,0.14
2020/02/18,15.26,22,22.14,0,1.14,1,0.86,0,0.14
2020/02/19,14.85,23,23.29,1,1.14,1,1.00,0,0.14
2020/02/20,14.68,24,24.43,1,1.14,1,1.00,0,0.00
2020/02/21,14.70,26,25.57,2,1.14,1,1.00,0,0.00
2020/02/22,14.97,26,26.86,0,1.29,1,1.00,0,0.00
2020/02/23,15.39,28,28.14,2,1.29,1,1.00,0,0.00
2020/02/24,15.22,30,29.29,2,1.14,1,1.00,0,0.00
2020/02/25,15.21,31,30.43,1,1.14,1,1.00,0,0.00
2020/02/26,17.35,32,32.29,1,1.86,1,1.00,0,0.00
2020/02/27,19.82,32,34.00,0,1.71,1,1.00,0,0.00
2020/02/28,22.81,34,35.57,2,1.57,1,1.00,0,0.00
2020/02/29,26.16,39,37.14,5,1.57,1,1.00,0,0.00
2020/03/01,29.09,40,38.57,1,1.43,1,1.00,0,0.00
2020/03/02,34.95,41,40.29,1,1.71,1,1.00,0,0.00
2020/03/03,41.89,42,41.86,1,1.57,1,1.00,0,0.00
2020/03/04,40.54,42,42.71,0,0.86,1,1.00,0,0.00
2020/03/05,33.77,44,43.43,2,0.71,1,1.00,0,0.00
2020/03/06,25.33,45,44.00,1,0.57,1,1.00,0,0.00
2020/03/07,19.19,45,44.71,0,0.71,1,1.00,0,0.00
2020/03/08,13.66,45,45.57,0,0.86,1,1.00,0,0.00
2020/03/09,10.52,45,46.29,0,0.71,1,1.00,0,0.00
2020/03/10,8.10,47,47.00,2,0.71,1,1.00,0,0.00
2020/03/11,6.65,48,48.14,1,1.14,1,1.00,0,0.00
2020/03/12,5.81,49,50.14,1,2.00,1,1.00,0,0.00
2020/03/13,5.27,50,53.29,1,3.14,1,1.00,0,0.00
2020/03/14,4.95,53,57.57,3,4.29,1,1.00,0,0.00
2020/03/15,4.96,59,65.00,6,7.43,1,1.00,0,0.00
2020/03/16,5.01,67,73.43,8,8.43,1,1.00,0,0.00
2020/03/17,5.34,77,85.57,10,12.14,1,1.14,0,0.14
2020/03/18,5.79,100,99.86,23,14.29,1,1.29,0,0.14
2020/03/19,6.31,108,115.57,8,15.71,1,1.43,0,0.14
2020/03/20,7.10,135,133.86,27,18.29,2,1.57,1,0.14
2020/03/21,8.06,153,153.57,18,19.71,2,1.71,0,0.14
2020/03/22,9.14,169,172.86,16,19.29,2,1.86,0,0.14
2020/03/23,10.56,195,193.43,26,20.57,2,2.00,0,0.14
2020/03/24,12.02,215,212.29,20,18.86,2,2.00,0,0.00
2020/03/25,13.80,235,230.86,20,18.57,2,2.00,0,0.00
2020/03/26,16.03,252,249.29,17,18.43,2,2.00,0,0.00
2020/03/27,18.03,267,265.14,15,15.86,2,2.43,0,0.43
2020/03/28,20.65,283,280.43,16,15.29,2,2.86,0,0.43
2020/03/29,23.31,298,293.86,15,13.43,2,3.29,0,0.43
2020/03/30,26.55,306,306.29,8,12.43,5,3.71,3,0.43
2020/03/31,30.55,322,317.86,16,11.57,5,4.14,0,0.43
2020/04/01,35.05,329,328.14,7,10.29,5,4.57,0,0.43
2020/04/02,40.45,339,337.43,10,9.29,5,5.00,0,0.43
2020/04/03,48.78,348,347.00,9,9.57,5,5.00,0,0.00
2020/04/04,57.91,355,354.71,7,7.71,5,5.00,0,0.00
2020/04/05,69.57,363,361.86,8,7.14,5,5.00,0,0.00
2020/04/06,81.94,373,367.71,10,5.86,5,5.00,0,0.00
2020/04/07,95.44,376,372.57,3,4.86,5,5.14,0,0.14
2020/04/08,109.97,379,376.86,3,4.29,5,5.29,0,0.14
2020/04/09,104.95,380,380.43,1,3.57,5,5.43,0,0.14
2020/04/10,98.87,382,383.29,2,2.86,6,5.57,1,0.14
2020/04/11,89.73,385,385.71,3,2.43,6,5.71,0,0.14
2020/04/12,82.27,388,388.00,3,2.29,6,5.86,0,0.14
2020/04/13,75.21,393,390.14,5,2.14,6,6.00,0,0.14
2020/04/14,68.30,393,392.00,0,1.86,6,6.00,0,0.00
2020/04/15,63.20,395,393.86,2,1.86,6,6.00,0,0.00
2020/04/16,71.10,395,398.43,0,4.57,6,6.00,0,0.00
2020/04/17,80.53,395,402.57,0,4.14,6,6.00,0,0.00
2020/04/18,96.47,398,407.14,3,4.57,6,6.00,0,0.00
2020/04/19,119.88,420,411.57,22,4.43,6,6.00,0,0.00
