date,npatients,ndeaths,Cases Total(Ave7),Cases Day,Cases Day(Ave7),Deaths Total(Ave7),Deaths Day,Deaths Day(Ave7),Td7,R0,K,CFR
2020-03-18,3,0.0,,,,,,,,,,
2020-03-19,3,0.0,,0.0,,,0.0,,,,,
2020-03-20,3,0.0,,0.0,,,0.0,,,,,
2020-03-21,3,0.0,,0.0,,,0.0,,,,,
2020-03-22,5,0.0,,2.0,,,0.0,,,,,
2020-03-23,8,0.0,,3.0,,,0.0,,,,,
2020-03-24,11,0.0,,3.0,,,0.0,,,,,
2020-03-25,12,0.0,5.142857142857142,1.0,,0.0,0.0,,,,,0.0
2020-03-26,14,0.0,6.428571428571428,2.0,1.2857142857142856,0.0,0.0,0.0,,,,0.0
2020-03-27,14,0.0,8.0,0.0,1.5714285714285712,0.0,0.0,0.0,,,,0.0
2020-03-28,16,0.0,9.571428571428571,2.0,1.5714285714285712,0.0,0.0,0.0,,,,0.0
2020-03-29,21,0.0,11.428571428571427,5.0,1.8571428571428568,0.0,0.0,0.0,,,,0.0
2020-03-30,21,0.0,13.714285714285715,0.0,2.2857142857142856,0.0,0.0,0.0,,,,0.0
2020-03-31,23,0.0,15.571428571428571,2.0,1.857142857142857,0.0,0.0,0.0,,,,0.0
2020-04-01,22,0.0,17.285714285714285,-1.0,1.714285714285714,0.0,0.0,0.0,4.379764846542659,2.206276798841343,0.6697247706422018,0.0
2020-04-02,22,0.0,18.71428571428571,0.0,1.4285714285714284,0.0,0.0,0.0,4.905361075685717,2.026925351841835,0.628099173553719,0.0
2020-04-03,39,0.0,19.857142857142854,17.0,1.1428571428571428,0.0,0.0,0.0,5.709307759622711,1.834978187690233,0.5725190839694656,0.0
2020-04-04,43,1.0,23.428571428571423,4.0,3.571428571428571,0.0,1.0,0.0,6.648608525005452,1.6841691682108184,0.5179856115107913,0.0
2020-04-05,50,1.0,27.28571428571428,7.0,3.8571428571428568,0.14285714285714285,0.0,0.14285714285714285,6.759210495458831,1.6698648740176516,0.5121951219512195,0.005235602094240838
2020-04-06,51,1.0,31.428571428571427,1.0,4.142857142857142,0.2857142857142857,0.0,0.14285714285714285,7.053136018166527,1.6345624747304934,0.4973821989528795,0.00909090909090909
2020-04-07,51,1.0,35.714285714285715,0.0,4.285714285714286,0.42857142857142855,0.0,0.14285714285714285,6.908971613149699,1.6514081224562953,0.5045454545454545,0.011999999999999999
2020-04-08,69,1.0,39.714285714285715,18.0,3.9999999999999996,0.5714285714285714,0.0,0.14285714285714285,6.686273064686145,1.6792310498123384,0.516,0.014388489208633093
2020-04-09,76,1.0,46.42857142857142,7.0,6.714285714285714,0.7142857142857142,0.0,0.14285714285714285,6.448533825283691,1.711629027398604,0.5287769784172662,0.015384615384615384
2020-04-10,82,1.0,54.14285714285713,6.0,7.714285714285714,0.857142857142857,0.0,0.14285714285714285,5.712630985702526,1.8343303145809569,0.5723076923076924,0.0158311345646438
2020-04-11,91,1.0,60.28571428571428,9.0,6.142857142857142,0.9999999999999998,0.0,0.14285714285714285,5.792294762980191,1.8190885067777147,0.5672823218997362,0.01658767772511848
2020-04-12,105,1.0,67.14285714285714,14.0,6.857142857142856,0.9999999999999998,0.0,0.0,6.120644759815559,1.7616256745112782,0.54739336492891,0.014893617021276593
