date,npatients,ndeaths,Cases Total(Ave7),Cases Day,Cases Day(Ave7),Cases /100000Pop.,Deaths Total(Ave7),Deaths Day,Deaths Day(Ave7),Deaths /100000Pop.,Td7,Rt,CFR(%)
2020-03-18,153,7.00,,,,,,,,,,,
2020-03-19,156,7.00,,3.00,,,,0.00,,,,,
2020-03-20,157,6.00,,1.00,,,,-1.00,,,,,
2020-03-21,158,6.00,,1.00,,,,0.00,,,,,
2020-03-22,161,6.00,,3.00,,,,0.00,,,,,
2020-03-23,161,6.00,,0.00,,,,0.00,,,,,
2020-03-24,162,6.00,,1.00,,,,0.00,,,,,
2020-03-25,166,7.00,158.29,4.00,,,6.29,1.00,,,,,3.97
2020-03-26,167,7.00,160.14,1.00,1.86,0.04,6.29,0.00,0.00,0.00,,,3.93
2020-03-27,168,7.00,161.71,1.00,1.57,0.03,6.29,0.00,0.00,0.00,,,3.89
2020-03-28,172,7.00,163.29,4.00,1.57,0.03,6.43,0.00,0.14,0.00,,,3.94
2020-03-29,176,7.00,165.29,4.00,2.00,0.04,6.57,0.00,0.14,0.00,,,3.98
2020-03-30,177,7.00,167.43,1.00,2.14,0.04,6.71,0.00,0.14,0.00,,,4.01
2020-03-31,177,7.00,169.71,0.00,2.29,0.04,6.86,0.00,0.14,0.00,,,4.04
2020-04-01,182,7.00,171.86,5.00,2.14,0.04,7.00,0.00,0.14,0.00,69.60,,4.07
2020-04-02,185,8.00,174.14,3.00,2.29,0.04,7.00,1.00,0.00,0.00,68.73,1.11,4.02
2020-04-03,190,8.00,176.71,5.00,2.57,0.05,7.14,0.00,0.14,0.00,65.53,1.31,4.04
2020-04-04,193,8.00,179.86,3.00,3.14,0.06,7.29,0.00,0.14,0.00,61.39,1.42,4.05
2020-04-05,194,8.00,182.86,1.00,3.00,0.06,7.43,0.00,0.14,0.00,57.43,1.38,4.06
2020-04-06,194,9.00,185.43,0.00,2.57,0.05,7.57,1.00,0.14,0.00,55.04,1.27,4.08
2020-04-07,198,9.00,187.86,4.00,2.43,0.05,7.86,0.00,0.29,0.01,54.79,1.09,4.18
2020-04-08,208,9.00,190.86,10.00,3.00,0.06,8.14,0.00,0.29,0.01,54.51,1.09,4.27
2020-04-09,226,10.00,194.57,18.00,3.71,0.07,8.43,1.00,0.29,0.01,52.94,1.21,4.33
2020-04-10,239,11.00,200.43,13.00,5.86,0.11,8.71,1.00,0.29,0.01,50.40,1.30,4.35
2020-04-11,255,11.00,207.43,16.00,7.00,0.13,9.14,0.00,0.43,0.01,44.80,1.56,4.41
2020-04-12,267,11.00,216.29,12.00,8.86,0.17,9.57,0.00,0.43,0.01,38.48,1.83,4.43
2020-04-13,272,11.00,226.71,5.00,10.43,0.20,10.00,0.00,0.43,0.01,31.52,2.42,4.41
2020-04-14,279,12.00,237.86,7.00,11.14,0.21,10.29,1.00,0.29,0.01,25.81,2.83,4.32
2020-04-15,302,13.00,249.43,23.00,11.57,0.22,10.71,1.00,0.43,0.01,22.04,2.55,4.30
2020-04-16,336,14.00,262.86,34.00,13.43,0.26,11.29,1.00,0.57,0.01,19.54,2.25,4.29
2020-04-17,370,14.00,278.57,34.00,15.71,0.30,11.86,0.00,0.57,0.01,17.89,1.81,4.26
2020-04-18,407,16.00,297.29,37.00,18.71,0.36,12.29,2.00,0.43,0.01,16.45,1.78,4.13
2020-04-19,434,18.00,319.00,27.00,21.71,0.42,13.00,2.00,0.71,0.01,15.25,1.71,4.08
2020-04-20,451,18.00,342.86,17.00,23.86,0.46,14.00,0.00,1.00,0.02,14.21,1.69,4.08
2020-04-21,473,21.00,368.43,22.00,25.57,0.49,15.00,3.00,1.00,0.02,13.27,1.72,4.07
2020-04-22,495,22.00,396.14,22.00,27.71,0.53,16.29,1.00,1.29,0.02,12.44,1.76,4.11
2020-04-23,540,25.00,423.71,45.00,27.57,0.53,17.57,3.00,1.29,0.02,11.83,1.68,4.15
2020-04-24,562,25.00,452.86,22.00,29.14,0.56,19.14,0.00,1.57,0.03,11.57,1.49,4.23
2020-04-25,601,25.00,480.29,39.00,27.43,0.53,20.71,0.00,1.57,0.03,11.53,1.37,4.31
2020-04-26,615,25.00,508.00,14.00,27.71,0.53,22.00,0.00,1.29,0.02,11.86,1.18,4.33
2020-04-27,650,26.00,533.86,35.00,25.86,0.50,23.00,1.00,1.00,0.02,12.34,1.11,4.31
2020-04-28,688,26.00,562.29,38.00,28.43,0.55,24.14,0.00,1.14,0.02,13.08,1.01,4.29
2020-04-29,726,26.00,593.00,38.00,30.71,0.59,24.86,0.00,0.71,0.01,13.85,1.02,4.19
2020-04-30,767,27.00,626.00,41.00,33.00,0.63,25.43,1.00,0.57,0.01,14.43,1.08,4.06
2020-05-01,790,29.00,658.43,23.00,32.43,0.62,25.71,2.00,0.29,0.01,14.99,1.09,3.91
2020-05-02,823,29.00,691.00,33.00,32.57,0.62,26.29,0.00,0.57,0.01,15.38,1.13,3.80
2020-05-03,847,33.00,722.71,24.00,31.71,0.61,26.86,4.00,0.57,0.01,15.77,1.12,3.72
2020-05-04,879,36.00,755.86,32.00,33.14,0.64,28.00,3.00,1.14,0.02,16.02,1.16,3.70
2020-05-05,891,43.00,788.57,12.00,32.71,0.63,29.43,7.00,1.43,0.03,16.40,1.12,3.73
2020-05-06,914,43.00,817.57,23.00,29.00,0.56,31.86,0.00,2.43,0.05,17.02,1.05,3.90
2020-05-07,928,45.00,844.43,14.00,26.86,0.52,34.29,2.00,2.43,0.05,18.17,0.91,4.06
2020-05-08,928,47.00,867.43,0.00,23.00,0.44,36.86,2.00,2.57,0.05,19.50,0.87,4.25
2020-05-09,934,48.00,887.14,6.00,19.71,0.38,39.43,1.00,2.57,0.05,21.34,0.78,4.44
2020-05-10,945,51.00,903.00,11.00,15.86,0.30,42.14,3.00,2.71,0.05,23.67,0.71,4.67
2020-05-11,954,56.00,917.00,9.00,14.00,0.27,44.71,5.00,2.57,0.05,27.28,0.59,4.88
2020-05-12,966,62.00,927.71,12.00,10.71,0.21,47.57,6.00,2.86,0.05,32.16,0.55,5.13
2020-05-13,979,68.00,938.43,13.00,10.71,0.21,50.29,6.00,2.71,0.05,38.39,0.49,5.36
2020-05-14,983,70.00,947.71,4.00,9.29,0.18,53.86,2.00,3.57,0.07,45.97,0.52,5.68
2020-05-15,989,72.00,955.57,6.00,7.86,0.15,57.43,2.00,3.57,0.07,54.81,0.52,6.01
2020-05-16,999,73.00,964.29,10.00,8.71,0.17,61.00,1.00,3.57,0.07,65.30,0.52,6.33
2020-05-17,1006,74.00,973.57,7.00,9.29,0.18,64.57,1.00,3.57,0.07,73.89,0.65,6.63
2020-05-18,1014,75.00,982.29,8.00,8.71,0.17,67.86,1.00,3.29,0.06,81.05,0.75,6.91
2020-05-19,1015,76.00,990.86,1.00,8.57,0.16,70.57,1.00,2.71,0.05,84.89,0.86,7.12
2020-05-20,1018,77.00,997.86,3.00,7.00,0.13,72.57,1.00,2.00,0.04,89.25,0.85,7.27
2020-05-21,1019,77.00,1003.43,1.00,5.57,0.11,73.86,0.00,1.29,0.02,94.11,0.82,7.36
2020-05-22,1024,78.00,1008.57,5.00,5.14,0.10,74.86,1.00,1.00,0.02,99.29,0.78,7.42
2020-05-23,1030,78.00,1013.57,6.00,5.00,0.10,75.71,0.00,0.86,0.02,108.06,0.69,7.47
2020-05-24,1039,79.00,1018.00,9.00,4.43,0.08,76.43,1.00,0.71,0.01,120.50,0.64,7.51
2020-05-25,1054,81.00,1022.71,15.00,4.71,0.09,77.14,2.00,0.71,0.01,135.86,0.62,7.54
2020-05-26,1057,83.00,1028.43,3.00,5.71,0.11,78.00,2.00,0.86,0.02,153.33,0.65,7.58
2020-05-27,1066,84.00,1034.43,9.00,6.00,0.12,79.00,1.00,1.00,0.02,160.78,0.87,7.64
2020-05-28,1071,85.00,1041.29,5.00,6.86,0.13,80.00,1.00,1.00,0.02,159.47,1.05,7.68
2020-05-29,1078,86.00,1048.71,7.00,7.43,0.14,81.14,1.00,1.14,0.02,152.00,1.23,7.74
2020-05-30,1081,86.00,1056.43,3.00,7.71,0.15,82.29,0.00,1.14,0.02,142.35,1.33,7.79
2020-05-31,1085,86.00,1063.71,4.00,7.29,0.14,83.43,0.00,1.14,0.02,130.94,1.49,7.84
2020-06-01,1091,86.00,1070.29,6.00,6.57,0.13,84.43,0.00,1.00,0.02,123.44,1.36,7.89
2020-06-02,1096,87.00,1075.57,5.00,5.29,0.10,85.14,1.00,0.71,0.01,121.62,1.10,7.92
2020-06-03,1099,87.00,1081.14,3.00,5.57,0.11,85.71,0.00,0.57,0.01,124.40,0.91,7.93
2020-06-04,1102,88.00,1085.86,3.00,4.71,0.09,86.14,1.00,0.43,0.01,129.17,0.86,7.93
2020-06-05,1105,90.00,1090.29,3.00,4.43,0.08,86.57,2.00,0.43,0.01,139.41,0.72,7.94
