date,npatients,ndeaths,Cases Total(Ave7),Cases Day,Cases Day(Ave7),Deaths Total(Ave7),Deaths Day,Deaths Day(Ave7),Td7,R0,K,CFR
2020-03-18,52,4.0,,,,,,,,,,
2020-03-19,57,4.0,,5.0,,,0.0,,,,,
2020-03-20,58,4.0,,1.0,,,0.0,,,,,
2020-03-21,61,4.0,,3.0,,,0.0,,,,,
2020-03-22,67,4.0,,6.0,,,0.0,,,,,
2020-03-23,68,4.0,,1.0,,,0.0,,,,,
2020-03-24,73,4.0,,5.0,,,0.0,,,,,
2020-03-25,77,4.0,62.285714285714285,4.0,,3.999999999999999,0.0,,,,,0.06422018348623852
2020-03-26,82,4.0,65.85714285714286,5.0,3.571428571428571,3.999999999999999,0.0,0.0,,,,0.060737527114967445
2020-03-27,88,4.0,69.42857142857143,6.0,3.571428571428571,3.999999999999999,0.0,0.0,,,,0.05761316872427982
2020-03-28,104,5.0,73.71428571428572,16.0,4.285714285714285,3.999999999999999,1.0,0.0,,,,0.054263565891472854
2020-03-29,107,5.0,79.85714285714286,3.0,6.142857142857142,4.142857142857142,0.0,0.14285714285714285,,,,0.05187835420393559
2020-03-30,115,6.0,85.57142857142856,8.0,5.7142857142857135,4.285714285714286,1.0,0.14285714285714285,,,,0.05008347245409016
2020-03-31,120,6.0,92.28571428571429,5.0,6.7142857142857135,4.571428571428571,0.0,0.2857142857142857,,,,0.049535603715170275
2020-04-01,138,6.0,98.99999999999999,18.0,6.714285714285714,4.857142857142857,0.0,0.2857142857142857,12.341194611461264,1.481651376146789,0.32507739938080504,0.049062049062049064
2020-04-02,153,6.0,107.7142857142857,15.0,8.714285714285715,5.142857142857142,0.0,0.2857142857142857,11.902968327682617,1.5032537960954444,0.3347763347763346,0.04774535809018568
2020-04-03,181,6.0,117.85714285714285,28.0,10.142857142857142,5.428571428571428,0.0,0.2857142857142857,11.047836649282704,1.5514403292181067,0.35543766578249325,0.04606060606060606
2020-04-04,197,6.0,131.14285714285714,16.0,13.285714285714285,5.7142857142857135,0.0,0.2857142857142857,10.339382036758836,1.5988372093023253,0.3745454545454544,0.04357298474945533
2020-04-05,226,6.0,144.42857142857142,29.0,13.285714285714285,5.857142857142856,0.0,0.14285714285714285,9.781374123515272,1.6422182468694095,0.39106753812636164,0.04055390702274975
2020-04-06,261,6.0,161.42857142857142,35.0,17.0,5.999999999999999,0.0,0.14285714285714285,9.269619050320854,1.6878130217028382,0.407517309594461,0.03716814159292035
2020-04-07,279,7.0,182.28571428571425,18.0,20.857142857142858,5.999999999999999,1.0,0.0,8.677147724057994,1.7492260061919502,0.42831858407079637,0.032915360501567396
2020-04-08,327,6.0,204.99999999999997,48.0,22.714285714285715,6.142857142857142,-1.0,0.14285714285714285,7.9482133331154525,1.8412698412698412,0.4568965517241379,0.029965156794425088
2020-04-09,375,6.0,232.0,48.0,26.999999999999996,6.142857142857142,0.0,0.0,7.539737310662392,1.9031830238726792,0.4745644599303136,0.02647783251231527
2020-04-10,425,6.0,263.71428571428567,50.0,31.714285714285715,6.142857142857142,0.0,0.0,7.16416242580402,1.9684848484848487,0.49199507389162567,0.023293607800650058
2020-04-11,465,6.0,298.57142857142856,40.0,34.857142857142854,6.1428571428571415,0.0,0.0,6.945571072353788,2.0108932461873636,0.5027085590465872,0.020574162679425835
2020-04-12,478,7.0,336.85714285714283,13.0,38.285714285714285,6.142857142857142,1.0,0.0,6.6811747098736225,2.067260138476756,0.5162679425837321,0.01823579304495335
2020-04-13,572,12.0,372.85714285714283,94.0,35.99999999999999,6.285714285714286,5.0,0.14285714285714285,6.596051564456995,2.0867256637168143,0.5207803223070399,0.016858237547892722
2020-04-14,594,14.0,417.2857142857143,22.0,44.42857142857142,7.142857142857143,2.0,0.857142857142857,6.7801766538662935,2.045454545454546,0.5111111111111112,0.017117425539198906
2020-04-15,614,15.0,462.2857142857143,20.0,45.0,8.142857142857142,1.0,0.9999999999999999,6.8265268842542834,2.0355400696864114,0.5087298870249914,0.017614338689740418
2020-04-16,673,16.0,503.2857142857143,59.0,41.0,9.428571428571429,1.0,1.2857142857142856,7.037580855987686,1.9926108374384237,0.4981458590852905,0.018734033494181096
2020-04-17,710,17.0,545.8571428571428,37.0,42.57142857142857,10.857142857142858,1.0,1.4285714285714284,7.507492033175159,1.9084507042253525,0.4760147601476016,0.019890081130594088
2020-04-18,754,16.0,586.5714285714286,44.0,40.71428571428571,12.428571428571429,-1.0,1.5714285714285712,8.041842253105903,1.8282296650717704,0.45302276890866255,0.021188504627374576
2020-04-19,784,17.0,627.8571428571428,30.0,41.285714285714285,13.857142857142858,1.0,1.4285714285714284,8.7481420135144,1.7413061916878712,0.42571846078908915,0.02207053469852105
2020-04-20,802,19.0,671.5714285714286,18.0,43.71428571428571,15.285714285714286,2.0,1.4285714285714284,9.310821522620595,1.6839080459770115,0.40614334470989755,0.022761114656456076
2020-04-21,816,19.0,704.4285714285714,14.0,32.857142857142854,16.285714285714285,0.0,0.9999999999999999,10.196570619277386,1.609380349195481,0.3786428419485216,0.023119042790509022
2020-04-22,841,23.0,736.1428571428571,25.0,31.714285714285708,17.0,4.0,0.7142857142857142,11.519435891217473,1.523794808405439,0.34374366254309474,0.023093343683291287
2020-04-23,880,24.0,768.5714285714286,39.0,32.42857142857142,18.14285714285714,1.0,1.1428571428571428,12.759563292431883,1.4626738575078058,0.31632058994760337,0.02360594795539033
2020-04-24,912,24.0,798.142857142857,32.0,29.57142857142857,19.28571428571428,0.0,1.1428571428571428,14.179917197535824,1.4080083747710026,0.28977695167286255,0.024163236083765884
2020-04-25,943,25.0,827.0,31.0,28.857142857142854,20.28571428571428,1.0,1.0,15.75369528282827,1.360691670725767,0.26507964918560933,0.024529279668336495
2020-04-26,959,26.0,853.9999999999999,16.0,26.999999999999996,21.57142857142857,1.0,1.2857142857142856,17.612234350953713,1.3171786120591582,0.24080152012437395,0.025259284041485447
2020-04-27,965,27.0,878.9999999999999,6.0,24.999999999999996,22.857142857142858,1.0,1.2857142857142856,20.19064488683484,1.2716443309934056,0.21361659417865497,0.026003575491630102
2020-04-28,975,29.0,902.2857142857143,10.0,23.285714285714285,24.000000000000004,2.0,1.1428571428571426,21.91542439055572,1.247819914824579,0.1986023078173248,0.026599113362887908
2020-04-29,1002,31.0,925.0,27.0,22.71428571428571,25.428571428571427,2.0,1.4285714285714284,23.842077270342532,1.225693770619057,0.18413552881570627,0.02749034749034749
2020-04-30,1028,32.0,948.0,26.0,22.999999999999996,26.571428571428566,1.0,1.1428571428571428,26.19034951300957,1.2035315985130113,0.16911196911196913,0.028028933092224227
2020-05-01,1042,32.0,969.1428571428571,14.0,21.142857142857142,27.714285714285708,0.0,1.1428571428571428,28.1985100662528,1.187757293717559,0.1580771549125981,0.02859669811320754
2020-05-02,1060,33.0,987.7142857142858,18.0,18.57142857142857,28.857142857142854,1.0,1.1428571428571428,30.591462324792364,1.1718776990844706,0.14666863207547165,0.02921608330922765
2020-05-03,1101,35.0,1004.4285714285716,41.0,16.71428571428571,30.0,2.0,1.1428571428571428,33.355934904339335,1.156574105051857,0.13537749493780749,0.0298677286303513
2020-05-04,1111,40.0,1024.7142857142858,10.0,20.285714285714285,31.285714285714285,5.0,1.2857142857142856,36.37499255269739,1.1426946205103206,0.12487555113070714,0.030531158511083227
2020-05-05,1125,41.0,1045.5714285714287,14.0,20.857142857142854,33.14285714285714,1.0,1.857142857142857,38.133535667877226,1.1356871437618745,0.11947581207305169,0.031698319442546787
2020-05-06,1132,43.0,1067.0,7.0,21.428571428571427,34.857142857142854,2.0,1.714285714285714,39.60029661019459,1.1303474903474904,0.11531630004098925,0.03266836256526978
2020-05-07,1145,44.0,1085.5714285714284,13.0,18.57142857142857,36.57142857142857,1.0,1.714285714285714,41.031361506561346,1.1255274261603376,0.1115276476101218,0.033688643242531915
2020-05-08,1150,47.0,1102.2857142857142,5.0,16.71428571428571,38.285714285714285,3.0,1.714285714285714,42.76809587505058,1.120135613207547,0.1072509540729043,0.03473302229134267
2020-05-09,1158,47.0,1117.7142857142856,8.0,15.428571428571427,40.42857142857143,0.0,2.1428571428571423,44.21074789446279,1.115996528782181,0.10393986521513732,0.03617075664621677
2020-05-10,1150,47.0,1131.7142857142856,-8.0,13.999999999999998,42.42857142857142,0.0,1.9999999999999998,45.40251658550052,1.1127862323993738,0.10135480572597111,0.0374905326937642
2020-05-11,1178,50.0,1138.7142857142858,28.0,7.0,44.14285714285714,3.0,1.7142857142857142,48.85263634962492,1.1044193503415585,0.09454683160817956,0.03876552502822732
2020-05-12,1193,57.0,1148.2857142857142,15.0,9.571428571428571,45.57142857142857,7.0,1.4285714285714286,56.8577870556895,1.0890832080885366,0.08179651235729513,0.03968648917641204
2020-05-13,1203,59.0,1157.9999999999998,10.0,9.714285714285714,47.85714285714285,2.0,2.2857142857142856,66.08669038997668,1.0761815504083545,0.07078875342124902,0.04132741179373304
2020-05-14,1236,62.0,1168.1428571428569,33.0,10.142857142857142,50.14285714285714,3.0,2.2857142857142856,75.12293523871571,1.066719305171733,0.06254626202812719,0.042925278219395874
2020-05-15,1251,63.0,1181.142857142857,15.0,13.0,52.71428571428571,1.0,2.571428571428571,83.61354125124328,1.059745982374287,0.05637764461293859,0.044629898403483304
2020-05-16,1251,63.0,1195.5714285714284,0.0,14.428571428571427,54.99999999999999,0.0,2.2857142857142856,87.90433966400835,1.056748466257669,0.053701015965166965,0.046003106703309836
2020-05-17,1251,63.0,1208.857142857143,0.0,13.285714285714285,57.285714285714285,0.0,2.2857142857142856,88.39438964181087,1.0564251451653623,0.05341139921137539,0.04738832427322146
2020-05-18,1276,64.0,1223.2857142857142,25.0,14.428571428571427,59.57142857142857,1.0,2.2857142857142856,81.17075394371416,1.0615982938150796,0.05802410777593947,0.04869788625481724
2020-05-19,1284,68.0,1237.2857142857142,8.0,13.999999999999998,61.57142857142857,4.0,1.9999999999999998,76.68732821896585,1.0653147549141577,0.0613102884503095,0.04976330677750837
2020-05-20,1302,68.0,1250.285714285714,18.0,12.999999999999998,63.142857142857146,0.0,1.5714285714285712,73.2651087236112,1.0684678016284235,0.06408036023553876,0.05050274223034736
2020-05-21,1315,69.0,1264.428571428571,13.0,14.142857142857142,64.42857142857143,1.0,1.2857142857142856,71.39862934079315,1.0703191879662468,0.06569926873857401,0.05095469438481529
2020-05-22,1322,71.0,1275.7142857142856,7.0,11.285714285714285,65.42857142857143,2.0,1.0,71.20907772142336,1.0705128205128203,0.06586826347305363,0.051287793952967536
