date,npatients,ndeaths,Cases Total(Ave7),Cases Day,Cases Day(Ave7),Cases /100000Pop.,Deaths Total(Ave7),Deaths Day,Deaths Day(Ave7),Deaths /100000Pop.,Td7,Rt,CFR(%)
2020-03-18,1,0.00,,,,,,,,,,,
2020-03-19,1,0.00,,0.00,,,,0.00,,,,,
2020-03-20,1,0.00,,0.00,,,,0.00,,,,,
2020-03-21,1,0.00,,0.00,,,,0.00,,,,,
2020-03-22,1,0.00,,0.00,,,,0.00,,,,,
2020-03-23,1,0.00,,0.00,,,,0.00,,,,,
2020-03-24,1,0.00,,0.00,,,,0.00,,,,,
2020-03-25,1,0.00,1.00,0.00,,,0.00,0.00,,,,,0.00
2020-03-26,1,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00
2020-03-27,1,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00
2020-03-28,1,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00
2020-03-29,1,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00
2020-03-30,1,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00
2020-03-31,2,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00
2020-04-01,2,0.00,1.14,0.00,0.14,0.02,0.00,0.00,0.00,0.00,,,0.00
2020-04-02,2,0.00,1.29,0.00,0.14,0.02,0.00,0.00,0.00,0.00,36.34,,0.00
2020-04-03,2,0.00,1.43,0.00,0.14,0.02,0.00,0.00,0.00,0.00,19.31,,0.00
2020-04-04,2,0.00,1.57,0.00,0.14,0.02,0.00,0.00,0.00,0.00,13.60,,0.00
2020-04-05,2,0.00,1.71,0.00,0.14,0.02,0.00,0.00,0.00,0.00,10.73,,0.00
2020-04-06,2,0.00,1.86,0.00,0.14,0.02,0.00,0.00,0.00,0.00,9.00,,0.00
2020-04-07,2,0.00,2.00,0.00,0.14,0.02,0.00,0.00,0.00,0.00,7.84,,0.00
2020-04-08,3,0.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,8.67,1.00,0.00
2020-04-09,3,0.00,2.14,0.00,0.14,0.02,0.00,0.00,0.00,0.00,10.98,,0.00
2020-04-10,4,0.00,2.29,1.00,0.14,0.02,0.00,0.00,0.00,0.00,11.97,1.00,0.00
2020-04-11,4,0.00,2.57,0.00,0.29,0.03,0.00,0.00,0.00,0.00,12.95,1.00,0.00
2020-04-12,8,0.00,2.86,4.00,0.29,0.03,0.00,0.00,0.00,0.00,11.97,1.64,0.00
2020-04-13,16,0.00,3.71,8.00,0.86,0.09,0.00,0.00,0.00,0.00,11.26,1.64,0.00
2020-04-14,20,0.00,5.71,4.00,2.00,0.21,0.00,0.00,0.00,0.00,7.84,3.60,0.00
2020-04-15,20,0.00,8.29,0.00,2.57,0.27,0.00,0.00,0.00,0.00,4.62,,0.00
2020-04-16,21,0.00,10.71,1.00,2.43,0.26,0.00,0.00,0.00,0.00,3.59,7.88,0.00
2020-04-17,24,0.00,13.29,3.00,2.57,0.27,0.00,0.00,0.00,0.00,3.14,7.57,0.00
2020-04-18,24,0.00,16.14,0.00,2.86,0.30,0.00,0.00,0.00,0.00,2.95,4.80,0.00
2020-04-19,25,0.00,19.00,1.00,2.86,0.30,0.00,0.00,0.00,0.00,2.80,5.18,0.00
2020-04-20,26,0.00,21.43,1.00,2.43,0.26,0.00,0.00,0.00,0.00,2.97,2.36,0.00
2020-04-21,26,0.00,22.86,0.00,1.43,0.15,0.00,0.00,0.00,0.00,3.67,1.15,0.00
2020-04-22,26,0.00,23.71,0.00,0.86,0.09,0.00,0.00,0.00,0.00,4.78,0.66,0.00
2020-04-23,28,0.00,24.57,2.00,0.86,0.09,0.00,0.00,0.00,0.00,6.11,0.48,0.00
2020-04-24,28,0.00,25.57,0.00,1.00,0.11,0.00,0.00,0.00,0.00,7.89,0.46,0.00
2020-04-25,28,0.00,26.14,0.00,0.57,0.06,0.00,0.00,0.00,0.00,10.55,0.47,0.00
2020-04-26,28,0.00,26.71,0.00,0.57,0.06,0.00,0.00,0.00,0.00,15.20,0.32,0.00
2020-04-27,28,0.00,27.14,0.00,0.43,0.05,0.00,0.00,0.00,0.00,22.01,0.36,0.00
2020-04-28,28,0.00,27.43,0.00,0.29,0.03,0.00,0.00,0.00,0.00,28.23,0.42,0.00
2020-04-29,28,0.00,27.71,0.00,0.29,0.03,0.00,0.00,0.00,0.00,33.35,0.46,0.00
2020-04-30,28,0.00,28.00,0.00,0.29,0.03,0.00,0.00,0.00,0.00,40.31,0.46,0.00
2020-05-01,28,0.00,28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.48,0.41,0.00
2020-05-02,28,0.00,28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.70,,0.00
2020-05-03,28,0.00,28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,103.22,,0.00
2020-05-04,28,0.00,28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,156.06,,0.00
2020-05-05,28,0.00,28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,235.32,,0.00
2020-05-06,28,0.00,28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,473.07,,0.00
2020-05-07,28,0.00,28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00
